model,coin,year,value_proj,time_proj,purch_power,real_earn
macberth,florin,1470,0.2811528965653101,0.06917940825223923,0.7624273523487529,66.6191172561408
macberth,florin,1480,0.28241547739851364,0.0705830454826355,0.7154058643807953,62.45805345527764
macberth,florin,1490,0.2823217201015304,0.07518775016069412,0.7158185437535453,62.009179998560384
macberth,florin,1500,0.2800641893886472,0.07636159658432007,0.7281441036098597,62.18326006157476
macberth,florin,1510,0.2816633745087519,0.07820653170347214,0.7189382345969891,60.14651786829997
macberth,florin,1520,0.2826006402451225,0.07866775244474411,0.6461441916711493,54.76797473188103
macberth,florin,1530,0.2830193148661579,0.08041861653327942,0.5751400616257254,48.32983420423
macberth,florin,1540,0.2822068785394778,0.07981202751398087,0.5309720782927089,48.257446373013146
macberth,florin,1550,0.2805860210518102,0.07900644838809967,0.3791282634704123,43.53833949482721
macberth,florin,1560,0.2792395333022575,0.08012460172176361,0.31686378663507975,43.58663373642403
macberth,florin,1570,0.2802148393278131,0.08014440536499023,0.29685528852591286,45.806589921776016
macberth,florin,1580,0.2825365756692411,0.07810801267623901,0.259329273594164,41.913963675687306
macberth,florin,1590,0.28365077864882116,0.08144358545541763,0.21804982475622126,37.24701355502289
macberth,florin,1600,0.2825223087428024,0.08416755497455597,0.19158151197338358,34.349456206452125
macberth,florin,1610,0.28256535493345475,0.08457387983798981,0.17552153617442268,33.498276811377444
macberth,florin,1620,0.2831117178825437,0.08333039283752441,0.16391442413853277,32.191610807937735
macberth,florin,1630,0.2854184565374726,0.08522634208202362,0.15099171350180227,31.91848518411263
macberth,florin,1640,0.28369826456685765,0.08770325779914856,0.1434938328308738,32.50152483020195
macberth,florin,1650,0.2829507345336801,0.09173882752656937,0.13641261167903276,33.87178192292672
macberth,florin,1660,0.2828648958740734,0.0922791063785553,0.13342206332827827,35.6508552384603
macberth,florin,1670,0.2820627247941428,0.0926366001367569,0.1359529142544772,36.198186096800406
macberth,florin,1680,0.2839544644114908,0.09742788225412369,0.14400864655485218,37.210408039950536
macberth,florin,1690,0.2847426641011948,0.09652742743492126,0.1486654164069261,38.744192546010716
macberth,florin,1700,0.2845549378854953,0.09561677277088165,0.14791280528994477,38.977209006946744
